method,seed,ratio,split,image,score,threshold
random,42,0.001,validation,train/good/002.png,6.34333610534668,6.929836273193359
random,42,0.001,validation,train/good/003.png,6.770731449127197,6.929836273193359
random,42,0.001,validation,train/good/005.png,6.717513561248779,6.929836273193359
random,42,0.001,validation,train/good/013.png,6.502439022064209,6.929836273193359
random,42,0.001,validation,train/good/015.png,6.183393955230713,6.929836273193359
random,42,0.001,validation,train/good/021.png,6.444644927978516,6.929836273193359
random,42,0.001,validation,train/good/030.png,6.870861053466797,6.929836273193359
random,42,0.001,validation,train/good/036.png,7.013496398925781,6.929836273193359
random,42,0.001,validation,train/good/037.png,6.7006964683532715,6.929836273193359
random,42,0.001,validation,train/good/042.png,6.8380866050720215,6.929836273193359
random,42,0.001,validation,train/good/044.png,6.75544548034668,6.929836273193359
random,42,0.001,validation,train/good/045.png,6.650364398956299,6.929836273193359
random,42,0.001,validation,train/good/047.png,6.780956745147705,6.929836273193359
random,42,0.001,validation,train/good/060.png,6.570321559906006,6.929836273193359
random,42,0.001,validation,train/good/061.png,6.697454452514648,6.929836273193359
random,42,0.001,validation,train/good/064.png,6.258195877075195,6.929836273193359
random,42,0.001,validation,train/good/069.png,6.628992080688477,6.929836273193359
random,42,0.001,validation,train/good/073.png,6.825862407684326,6.929836273193359
random,42,0.001,validation,train/good/080.png,6.6767706871032715,6.929836273193359
random,42,0.001,validation,train/good/085.png,6.713554382324219,6.929836273193359
random,42,0.001,validation,train/good/089.png,6.929836273193359,6.929836273193359
random,42,0.001,validation,train/good/100.png,6.714021682739258,6.929836273193359
random,42,0.001,validation,train/good/104.png,6.7820916175842285,6.929836273193359
random,42,0.001,validation,train/good/111.png,6.69629430770874,6.929836273193359
random,42,0.001,validation,train/good/123.png,6.644277572631836,6.929836273193359
random,42,0.001,validation,train/good/124.png,6.783306121826172,6.929836273193359
random,42,0.001,validation,train/good/140.png,6.689462661743164,6.929836273193359
random,42,0.001,validation,train/good/152.png,6.735513687133789,6.929836273193359
random,42,0.001,validation,train/good/160.png,6.822784423828125,6.929836273193359
random,42,0.001,validation,train/good/167.png,6.374416828155518,6.929836273193359
random,42,0.001,validation,train/good/168.png,6.724165439605713,6.929836273193359
random,42,0.001,validation,train/good/169.png,6.486267566680908,6.929836273193359
random,42,0.001,validation,train/good/176.png,6.6536736488342285,6.929836273193359
random,42,0.001,validation,train/good/177.png,6.817359924316406,6.929836273193359
random,42,0.001,validation,train/good/182.png,6.869776248931885,6.929836273193359
random,42,0.001,validation,train/good/187.png,6.742242813110352,6.929836273193359
random,42,0.001,validation,train/good/194.png,6.5444488525390625,6.929836273193359
random,42,0.001,validation,train/good/195.png,6.8178629875183105,6.929836273193359
random,42,0.001,validation,train/good/201.png,6.6710734367370605,6.929836273193359
random,42,0.001,validation,train/good/204.png,7.043237686157227,6.929836273193359
random,42,0.001,validation,train/good/208.png,6.799825191497803,6.929836273193359
random,42,0.001,test,test/broken_large/000.png,8.836468696594238,6.929836273193359
random,42,0.001,test,test/broken_large/001.png,9.772790908813477,6.929836273193359
random,42,0.001,test,test/broken_large/002.png,8.408514022827148,6.929836273193359
random,42,0.001,test,test/broken_large/003.png,9.503957748413086,6.929836273193359
random,42,0.001,test,test/broken_large/004.png,11.085504531860352,6.929836273193359
random,42,0.001,test,test/broken_large/005.png,8.624404907226562,6.929836273193359
random,42,0.001,test,test/broken_large/006.png,10.69472885131836,6.929836273193359
random,42,0.001,test,test/broken_large/007.png,8.087220191955566,6.929836273193359
random,42,0.001,test,test/broken_large/008.png,10.144989013671875,6.929836273193359
random,42,0.001,test,test/broken_large/009.png,8.416067123413086,6.929836273193359
random,42,0.001,test,test/broken_large/010.png,9.199071884155273,6.929836273193359
random,42,0.001,test,test/broken_large/011.png,8.320931434631348,6.929836273193359
random,42,0.001,test,test/broken_large/012.png,10.546808242797852,6.929836273193359
random,42,0.001,test,test/broken_large/013.png,7.742105960845947,6.929836273193359
random,42,0.001,test,test/broken_large/014.png,9.859611511230469,6.929836273193359
random,42,0.001,test,test/broken_large/015.png,10.042525291442871,6.929836273193359
random,42,0.001,test,test/broken_large/016.png,9.430768013000488,6.929836273193359
random,42,0.001,test,test/broken_large/017.png,11.060371398925781,6.929836273193359
random,42,0.001,test,test/broken_large/018.png,9.053508758544922,6.929836273193359
random,42,0.001,test,test/broken_large/019.png,8.609247207641602,6.929836273193359
random,42,0.001,test,test/broken_small/000.png,7.819822788238525,6.929836273193359
random,42,0.001,test,test/broken_small/001.png,9.794675827026367,6.929836273193359
random,42,0.001,test,test/broken_small/002.png,10.573217391967773,6.929836273193359
random,42,0.001,test,test/broken_small/003.png,10.130202293395996,6.929836273193359
random,42,0.001,test,test/broken_small/004.png,11.45495319366455,6.929836273193359
random,42,0.001,test,test/broken_small/005.png,7.2263641357421875,6.929836273193359
random,42,0.001,test,test/broken_small/006.png,9.275481224060059,6.929836273193359
random,42,0.001,test,test/broken_small/007.png,8.461146354675293,6.929836273193359
random,42,0.001,test,test/broken_small/008.png,7.519047260284424,6.929836273193359
random,42,0.001,test,test/broken_small/009.png,9.200878143310547,6.929836273193359
random,42,0.001,test,test/broken_small/010.png,10.23257064819336,6.929836273193359
random,42,0.001,test,test/broken_small/011.png,8.256765365600586,6.929836273193359
