method,seed,ratio,vectors,memory_mib,threshold,validation_false_alarms,test_false_alarms,test_missed_defects,test_defect_recall,test_auroc
coreset,42,0.001,131,0.51171875,4.438168525695801,2,0,0,1.0,1.0
random,42,0.001,131,0.51171875,6.929836273193359,2,1,10,0.8412698412698413,0.9404761904761904
coreset,43,0.001,131,0.51171875,4.566765308380127,2,2,1,0.984126984126984,0.9952380952380953
random,43,0.001,131,0.51171875,6.829803466796875,2,0,8,0.873015873015873,0.938095238095238
coreset,44,0.001,131,0.51171875,4.323751926422119,2,1,0,1.0,1.0
random,44,0.001,131,0.51171875,5.905096054077148,2,1,4,0.9365079365079364,0.9817460317460316
coreset,42,0.005,658,2.5703125,3.005035400390625,2,1,0,1.0,1.0
random,42,0.005,658,2.5703125,3.626192331314087,2,1,0,1.0,0.9984126984126984
coreset,43,0.005,658,2.5703125,2.791858673095703,2,2,0,1.0,1.0
random,43,0.005,658,2.5703125,4.33710527420044,2,1,1,0.984126984126984,0.9984126984126984
coreset,44,0.005,658,2.5703125,2.843189239501953,2,1,0,1.0,1.0
random,44,0.005,658,2.5703125,3.5444107055664062,2,2,0,1.0,1.0
coreset,42,0.01,1317,5.14453125,2.625560760498047,2,2,0,1.0,1.0
random,42,0.01,1317,5.14453125,3.322490930557251,2,0,0,1.0,1.0
coreset,43,0.01,1317,5.14453125,2.644474029541016,2,1,0,1.0,1.0
random,43,0.01,1317,5.14453125,3.251811981201172,2,1,0,1.0,0.9976190476190476
coreset,44,0.01,1317,5.14453125,2.70682144165039,2,1,0,1.0,1.0
random,44,0.01,1317,5.14453125,3.296314239501953,2,0,0,1.0,1.0
